,pic1,pic2,jac_ind,id1,id2,url1,url2,clipscore
1628586,6033,4987,0.4878048780487805,2365732,2350648,https://cs.stanford.edu/people/rak248/VG_100K/2365732.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2350648.jpg,0.7996760606765747
868464,2833,1354,0.48717948717948717,2371046,2336761,https://cs.stanford.edu/people/rak248/VG_100K/2371046.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2336761.jpg,0.8401964902877808
8370322,6171,3337,0.4791666666666667,2369218,2413789,https://cs.stanford.edu/people/rak248/VG_100K/2369218.jpg,https://cs.stanford.edu/people/rak248/VG_100K_2/2413789.jpg,0.867273211479187
1405228,5940,691,0.4634146341463415,2336114,2394893,https://cs.stanford.edu/people/rak248/VG_100K/2336114.jpg,https://cs.stanford.edu/people/rak248/VG_100K_2/2394893.jpg,0.7502269744873047
869041,3986,2833,0.45,2367596,2371046,https://cs.stanford.edu/people/rak248/VG_100K/2367596.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2371046.jpg,0.8693329691886902
383794,5818,2270,0.4473684210526316,2406913,2409783,https://cs.stanford.edu/people/rak248/VG_100K_2/2406913.jpg,https://cs.stanford.edu/people/rak248/VG_100K_2/2409783.jpg,0.873187243938446
37982,6177,441,0.4444444444444444,2380560,2351725,https://cs.stanford.edu/people/rak248/VG_100K_2/2380560.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2351725.jpg,0.7855446934700012
4862052,6155,4191,0.4375,2360330,2375551,https://cs.stanford.edu/people/rak248/VG_100K/2360330.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2375551.jpg,0.640600860118866
937100,5952,4911,0.4358974358974359,2383247,2407625,https://cs.stanford.edu/people/rak248/VG_100K_2/2383247.jpg,https://cs.stanford.edu/people/rak248/VG_100K_2/2407625.jpg,0.7958502769470215
99093,5592,659,0.43243243243243246,2366005,2385862,https://cs.stanford.edu/people/rak248/VG_100K/2366005.jpg,https://cs.stanford.edu/people/rak248/VG_100K_2/2385862.jpg,0.7365515232086182
793438,3695,1139,0.425,2382909,2396480,https://cs.stanford.edu/people/rak248/VG_100K_2/2382909.jpg,https://cs.stanford.edu/people/rak248/VG_100K_2/2396480.jpg,0.8971545696258545
1363500,5364,2940,0.425,2356100,2357087,https://cs.stanford.edu/people/rak248/VG_100K/2356100.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2357087.jpg,0.8835722208023071
953341,5866,5038,0.425,2373510,2376836,https://cs.stanford.edu/people/rak248/VG_100K/2373510.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2376836.jpg,0.774936318397522
1905037,5269,461,0.425,2386170,2364478,https://cs.stanford.edu/people/rak248/VG_100K_2/2386170.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2364478.jpg,0.8393940925598145
11557978,4913,970,0.4230769230769231,2361617,2345277,https://cs.stanford.edu/people/rak248/VG_100K/2361617.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2345277.jpg,0.8844431638717651
326723,5383,1052,0.42105263157894735,2336987,2368760,https://cs.stanford.edu/people/rak248/VG_100K/2336987.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2368760.jpg,0.7986451983451843
2476387,2256,2115,0.4186046511627907,2366013,2367591,https://cs.stanford.edu/people/rak248/VG_100K/2366013.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2367591.jpg,0.6222624182701111
7168382,4987,4502,0.4166666666666667,2350648,2409056,https://cs.stanford.edu/people/rak248/VG_100K/2350648.jpg,https://cs.stanford.edu/people/rak248/VG_100K_2/2409056.jpg,0.7174055576324463
