,id1,id1.1,url1,url2,jac_ind
4066334,2326948,2326948,https://cs.stanford.edu/people/rak248/VG_100K/2326948.jpg,https://cs.stanford.edu/people/rak248/VG_100K_2/2417381.jpg,0.0405405405405405
1224379,2400046,2400046,https://cs.stanford.edu/people/rak248/VG_100K_2/2400046.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2332366.jpg,0.0166666666666666
2456977,2379204,2379204,https://cs.stanford.edu/people/rak248/VG_100K_2/2379204.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2364189.jpg,0.0294117647058823
4063975,2403651,2403651,https://cs.stanford.edu/people/rak248/VG_100K_2/2403651.jpg,https://cs.stanford.edu/people/rak248/VG_100K_2/2380699.jpg,0.0285714285714285
590417,2318820,2318820,https://cs.stanford.edu/people/rak248/VG_100K/2318820.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2360039.jpg,0.0357142857142857
5609670,2409374,2409374,https://cs.stanford.edu/people/rak248/VG_100K_2/2409374.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2345308.jpg,0.0263157894736842
5434135,2363322,2363322,https://cs.stanford.edu/people/rak248/VG_100K/2363322.jpg,https://cs.stanford.edu/people/rak248/VG_100K_2/2405429.jpg,0.0256410256410256
1522736,2377326,2377326,https://cs.stanford.edu/people/rak248/VG_100K/2377326.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2336783.jpg,0.0149253731343283
5172903,2372975,2372975,https://cs.stanford.edu/people/rak248/VG_100K/2372975.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2357096.jpg,0.0405405405405405
5384090,2356568,2356568,https://cs.stanford.edu/people/rak248/VG_100K/2356568.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2337669.jpg,0.0422535211267605
1744066,2349549,2349549,https://cs.stanford.edu/people/rak248/VG_100K/2349549.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2342494.jpg,0.0144927536231884
3102161,2385065,2385065,https://cs.stanford.edu/people/rak248/VG_100K_2/2385065.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2331824.jpg,0.0303030303030303
4945255,2338129,2338129,https://cs.stanford.edu/people/rak248/VG_100K/2338129.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2334521.jpg,0.0277777777777777
3805842,2403815,2403815,https://cs.stanford.edu/people/rak248/VG_100K_2/2403815.jpg,https://cs.stanford.edu/people/rak248/VG_100K_2/2390202.jpg,0.04
4261834,2373642,2373642,https://cs.stanford.edu/people/rak248/VG_100K/2373642.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2338969.jpg,0.0149253731343283
1784068,2381280,2381280,https://cs.stanford.edu/people/rak248/VG_100K_2/2381280.jpg,https://cs.stanford.edu/people/rak248/VG_100K/1593230.jpg,0.0149253731343283
6106482,2367824,2367824,https://cs.stanford.edu/people/rak248/VG_100K/2367824.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2328595.jpg,0.0439560439560439
2176152,2370400,2370400,https://cs.stanford.edu/people/rak248/VG_100K/2370400.jpg,https://cs.stanford.edu/people/rak248/VG_100K_2/105.jpg,0.0476190476190476
848883,3448,3448,https://cs.stanford.edu/people/rak248/VG_100K_2/3448.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2348518.jpg,0.0333333333333333
5148067,2317480,2317480,https://cs.stanford.edu/people/rak248/VG_100K/2317480.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2360150.jpg,0.0131578947368421
