word,count
time,5043979
man,4583961
way,3563817
person,3009314
thing,2502126
god,2345340
sir,2308240
life,2153877
day,2113105
work,2070308
night,1930369
home,1885471
name,1651919
guy,1647216
year,1623467
money,1551660
father,1498231
lot,1373704
girl,1368281
kind,1359089
thanks,1338131
house,1312364
world,1308933
course,1273676
dad,1261711
hell,1239466
mother,1221235
son,1182321
today,1169418
car,1168353
care,1143157
woman,1120510
baby,1091551
friend,1085723
job,1025171
mom,1020602
morning,1011114
room,1004681
family,998447
door,989721
head,979137
run,918131
idea,898432
brother,883478
wife,881000
phone,860468
matter,849910
tonight,838387
end,818285
problem,804295
tomorrow,801851
bit,798024
turn,786707
school,781118
hand,758999
be,757756
case,730778
business,727926
heart,720910
kid,707717
police,704566
minute,682601
part,668442
music,662771
death,658838
stuff,655134
doctor,644832
water,641205
deal,636122
eye,632135
pay,625483
point,619063
fire,613653
means,611027
word,598622
chance,590696
number,584734
body,571233
shot,569475
story,564616
sleep,563666
blood,560153
rest,559768
half,559115
side,555588
wish,553213
ass,549416
party,547581
gun,547135
hour,545478
mr,544463
fun,542358
waiting,541933
daughter,540879
week,540305
game,538787
war,536417
captain,529168
moment,528362
city,524964
truth,520218
child,518270
sister,515855
husband,513205
town,507470
line,507123
question,506541
lady,502496
reason,496935
power,492383
trouble,490422
honey,489295
boy,486485
office,484856
lord,483440
couple,481750
answer,467934
front,463592
light,459043
dog,458766
team,456533
sigh,453381
king,452065
news,446797
month,442396
plan,439476
bed,438789
bitch,438565
order,435768
hurry,435251
country,429587
running,423374
promise,422598
food,417232
fact,412639
book,407284
dinner,389742
control,388607
air,385939
chuckle,383660
touch,381570
boss,376865
daddy,373843
company,373833
earth,372469
sort,370734
sound,365683
top,364490
hang,362294
law,357909
president,357298
luck,355608
parent,354180
street,350963
laugh,345666
hair,341298
murder,334574
sense,333414
master,332623
ship,331795
gentleman,330458
voice,328258
dream,328144
meeting,326983
hospital,326242
uncle,325753
bet,325214
calling,321706
secret,320896
step,318283
sex,318110
other,317677
dude,310705
piece,308954
figure,305091
future,303761
fall,303472
coffee,299643
date,298078
road,297548
choice,296307
state,294989
foot,293936
security,293698
evening,292775
fault,292038
officer,284973
picture,282642
report,278247
agent,277636
land,276869
ride,275245
class,274783
system,274071
pain,273689
building,270954
one,270156
song,266344
chief,265795
mouth,265312
attack,263659
buddy,262358
information,260968
yesterday,258744
train,258181
mistake,258003
darling,256498
kiss,255177
finish,252041
message,252031
TV,252004
bill,249076
court,247966
army,247641
movie,245512
ring,245443
floor,244730
radio,244664
evidence,244631
bag,244444
goodbye,243733
handle,243286
wedding,243157
birthday,241665
rock,241264
history,236345
hotel,236268
honor,235242
ground,235002
box,234905
mile,233330
station,233280
age,231938
attention,230956
clothes,230868
cell,230615
goddamn,230488
table,230374
situation,230193
boat,229265
key,227930
sun,226365
peace,225976
ball,224388
space,223463
charge,223394
test,223121
count,221722
crime,219813
brain,219800
prison,219436
government,218570
cop,217852
mama,216882
horse,216715
grunt,216449
star,214021
wall,213756
mark,213094
detective,213027
fighting,212739
ice,212642
cause,212104
fix,211994
gold,211702
club,211354
record,210783
bastard,210481
accident,210366
paper,210319
service,210174
bank,209643
killer,209283
bar,208413
area,207946
soul,207915
respect,207079
group,207051
surprise,206815
letter,205707
machine,204781
lunch,204551
position,203844
standing,202796
fish,202755
idiot,202612
queen,201656
smell,201574
trip,199681
plane,199658
girlfriend,199556
park,199515
lieutenant,198500
call,197192
card,197035
window,196661
mess,196315
second,195008
share,194892
field,193514
seat,193479
scene,192848
pleasure,192751
film,192395
gasp,191852
afternoon,191411
sea,191404
church,190412
south,189938
colonel,189373
marriage,187953
camera,187487
walking,186388
truck,186304
computer,185184
dress,184966
apartment,183683
mission,182842
tea,181886
cash,181452
sake,181431
boyfriend,181294
planet,179659
lawyer,179650
judge,179605
ray,179141
partner,177965
college,177010
glass,175883
cat,175746
art,175327
joke,175253
board,175158
rule,174873
store,174344
wind,174259
cross,172888
gift,172673
island,172645
difference,172281
bullshit,171525
jail,171395
bear,171093
relationship,170894
professor,170383
tree,170354
magic,169713
congratulation,168463
groan,167372
decision,166819
arrest,166478
self,166006
sleeping,165547
weapon,165329
asshole,164218
risk,164118
wine,164103
beer,164009
guard,163970
favor,163604
enemy,163367
arm,162504
bus,162326
victim,161125
teacher,160981
river,159701
bell,158433
crap,158141
bomb,157615
hole,157589
patient,157435
level,157107
department,156995
press,156934
shoe,156559
address,156341
moon,156090
code,156040
throat,155267
crowd,155227
sergeant,155222
smoke,155010
shop,154691
engine,154395
type,153610
heaven,153120
roll,153086
mum,152914
dick,152480
hero,152433
bunch,152415
battle,151989
flight,151906
price,151808
gas,151430
dollar,151428
track,151225
drug,151151
spot,150788
summer,150684
action,150530
match,150184
copy,149541
experience,148287
rid,148265
duty,147656
majesty,147619
mommy,147162
fit,146980
steal,146942
race,146397
pop,146009
memory,145693
upstairs,145664
drinking,145237
smile,144999
leg,143988
commander,143895
village,143237
feeling,143201
notice,142786
kitchen,142095
prince,141901
waste,141535
reading,141435
bird,141212
doc,141063
grace,139686
sweetheart,139376
nose,138880
danger,138786
chicken,138726
form,138133
aunt,138132
neck,137901
writing,137632
shooting,137593
sky,137470
pressure,137395
witness,137343
taste,137202
video,136796
scream,136761
ex,136626
spirit,136081
energy,135675
crew,135114
breakfast,135048
faith,134829
place,134758
target,134181
bathroom,134117
folk,133917
madam,133439
director,133235
band,133213
speed,133073
pants,133046
interest,132846
command,132015
cost,131976
acting,131949
camp,131651
bridge,131152
knife,131037
ma,130926
file,130396
emergency,130343
rain,128986
stone,128688
skin,128564
hat,128175
nature,127836
animal,127823
conversation,127529
laughter,127318
stage,127274
language,127030
tape,126809
beach,126732
corner,126665
plenty,126483
shame,126155
driver,126147
weekend,126069
cheer,125866
hall,125757
justice,125340
princess,125124
client,125104
rose,124836
bottle,124015
bottom,122442
angel,122198
leader,121987
study,121973
sheriff,121812
cup,121344
soldier,121323
account,121087
note,120321
breath,120161
pack,119981
shirt,119731
opportunity,119713
operation,119328
strength,119203
hearing,118812
monster,118794
leave,118371
pardon,117833
sight,117504
beauty,116451
cousin,115873
sweetie,115686
advice,115340
sword,115076
size,114855
ghost,113914
base,113909
access,113572
strike,113495
flower,113415
trial,113395
training,113241
tooth,112891
freedom,112815
center,112771
lab,112630
program,112466
meat,112297
travel,112020
motherfucker,111768
show,111752
planning,111124
investigation,110791
goin',110655
bullet,110398
science,110242
release,110163
papa,110098
credit,110045
dancing,109083
gate,108910
practice,108658
career,108363
health,108299
post,108128
chair,107690
market,107408
alarm,107320
restaurant,107230
milk,107071
minister,107071
distance,106946
cake,106540
nut,106301
grandma,105942
mountain,105892
coach,105874
buck,105438
unit,104993
cream,104879
research,104533
condition,104438
heat,104379
proof,104340
purpose,104223
tie,104186
project,104049
suicide,103658
view,103630
manager,103350
mail,103287
nurse,102945
universe,102833
student,102660
meaning,102623
desk,102169
ticket,102117
vote,102079
defense,101837
oil,101371
bite,101161
pal,101115
block,100007
opening,99363
guest,99346
sell,99325
inspector,98792
color,98643
safety,98396
photo,98366
damage,98046
babe,97719
opinion,97387
roof,97247
pig,96888
pool,96583
gang,96535
mayor,96261
character,95442
finger,94974
noise,94943
snow,94874
staff,94857
storm,94613
weight,94420
shower,94374
datum,94320
fate,94255
responsibility,94215
mister,93965
path,93957
page,93517
issue,93362
property,93278
trade,93109
surgery,93099
castle,92726
speech,92284
thousand,91805
nonsense,91756
applause,91710
grandpa,91517
sugar,91496
hill,91468
fan,91452
lake,91345
process,91005
location,90672
member,90305
weather,90279
example,90206
harm,90112
stop,90000
horn,89993
style,89946
tongue,89744
audience,89604
chest,89446
bone,88970
liar,88907
interview,88891
subject,88886
thought,88555
loss,88495
spread,88481
birth,88406
map,88234
theory,88169
spare,88109
society,88097
permission,87673
pocket,87585
genius,87314
cheese,86956
clock,86935
medicine,86930
ear,86885
fancy,86721
season,86613
coat,86268
narrator,86244
detail,86165
warning,86150
secretary,85939
silver,85748
save,85710
funeral,85326
joy,85074
airport,85057
downstairs,84948
attorney,84938
connection,84917
rat,84767
wood,84648
dean,84376
human,84103
contract,84094
silence,84076
cancer,84070
egg,83999
hunt,83816
ocean,83678
drink,83536
stomach,83469
farm,83399
paint,83386
garden,83374
rush,83157
DNA,83074
change,82769
freak,82631
football,82620
burning,82126
community,82081
spring,82070
revenge,81728
reality,81607
threat,81595
bedroom,81569
forest,81380
bang,81191
model,81168
grandfather,81162
winter,81014
pair,80735
request,80527
butt,80372
insurance,80341
site,80314
chatter,80209
source,80096
assistant,80094
goodness,80088
right,80004
piss,79919
chase,79803
bread,79618
lesson,79421
switch,78955
fortune,78950
priest,78916
boom,78881
dating,78858
divorce,78665
journey,78506
monkey,78408
pound,78344
thief,78296
murderer,78184
plant,78174
happiness,78096
pilot,77961
player,77880
amount,77858
crack,77774
knowledge,77744
bleeding,77545
shape,77514
force,77180
event,77107
mood,77072
century,76996
pick,76907
statement,76831
giant,76690
success,76611
wound,76502
trap,76350
tour,76255
glasses,76201
rate,76185
telephone,76120
grant,75868
traffic,75439
toilet,75302
protection,75250
grave,75130
rescue,74985
face,74762
tire,74643
lover,74476
jacket,74450
jerk,74429
painting,74416
metal,74289
poison,74263
intelligence,74185
result,74039
neighborhood,73890
firm,73742
spell,73705
owner,73673
bike,73486
concern,73471
penny,73443
range,73321
chocolate,73208
witch,73112
governor,73035
vehicle,72793
tip,72653
tear,72645
pity,72634
victory,72533
miracle,72530
nation,72459
license,72440
iron,72107
move,71978
grade,71958
direction,71920
artist,71892
bath,71660
meal,71548
plate,71460
elevator,71433
period,71372
television,71330
desert,71310
punch,70945
disease,70906
million,70872
hunting,70801
device,70683
violence,70607
dragon,70571
shock,70531
wolf,70425
beast,70392
beep,70389
tower,70385
pill,70163
prisoner,70058
jury,69866
university,69734
percent,69626
pizza,69543
dawn,69376
midnight,69355
candy,69352
vacation,69340
courage,69248
lip,69205
term,69165
gunshot,69140
section,68929
value,68911
cab,68697
council,68548
edge,68516
county,68483
appointment,68473
technology,68233
mystery,68215
effect,68184
image,68052
darkness,68037
passing,67994
pie,67980
button,67826
thunder,67803
union,67786
junior,67764
palace,67495
mirror,67433
wire,67405
fellas,67393
knee,67331
destiny,67312
creature,67034
pride,66781
advantage,66610
grandmother,66585
piano,66566
spy,66488
smoking,66462
zone,66202
riding,66180
lily,66139
soup,66135
talent,66022
winner,65935
treatment,65904
temple,65743
sign,65714
wheel,65657
closing,65517
affair,65510
bond,65492
desire,65222
taxi,65168
score,65082
toast,65013
schedule,64929
chef,64905
dust,64865
route,64841
sacrifice,64720
coast,64665
squad,64665
surface,64626
presence,64576
alert,64573
shopping,64563
hundred,64551
reporter,64413
treasure,64224
pussy,64199
exchange,64167
trace,64121
parking,64108
tank,64100
row,64089
role,64038
flesh,63918
competition,63827
shadow,63523
explosion,63500
juice,63293
barking,63181
screen,62960
bride,62932
kingdom,62895
champagne,62882
shoulder,62874
pot,62834
progress,62777
stair,62777
cleaning,62751
vision,62600
cast,62553
chain,62537
factory,62416
highness,62366
honour,62325
warrant,62071
virus,61998
wave,61984
circle,61613
pen,61607
equipment,61525
tail,61506
yard,61414
emperor,61350
brand,61334
garage,61176
blow,60976
text,60846
internet,60835
curse,60735
authority,60653
circumstance,60633
cooking,60435
snake,60402
ambulance,60243
demon,60194
hunter,60103
sale,60082
click,60058
troops,60042
media,60025
border,59678
sin,59557
conference,59391
friendship,59349
expert,59229
talk,59178
anger,58969
trash,58856
flash,58733
studio,58657
bow,58606
incident,58536
cigarette,58342
cow,58253
loser,58178
library,58000
panic,57874
rope,57530
sentence,57493
duke,57377
magazine,57375
holiday,57288
duck,57260
mask,57192
quarter,57181
fella,57142
stock,57133
estate,57126
performance,57125
belt,57084
campaign,56888
failure,56874
agency,56845
custody,56809
material,56789
series,56684
whistle,56678
glory,56671
spending,56604
chick,56589
approach,56588
goal,56512
mass,56408
effort,56387
mind,56324
setting,56297
fruit,56296
siren,56243
wing,56239
writer,56239
attempt,56176
pee,56117
bravo,56020
nightmare,55976
dirt,55919
solution,55907
rice,55876
valley,55811
fishing,55811
counting,55807
ability,55799
policy,55664
sand,55644
skill,55643
object,55484
learning,55339
clue,55267
prize,55232
crown,55130
navy,55024
garbage,54958
deck,54941
vice,54940
empire,54880
basement,54737
debt,54722
hit,54665
swing,54624
doll,54540
tiger,54492
robbery,54391
behavior,54383
task,54375
attitude,54253
vampire,54186
agreement,54101
bust,54057
apple,53984
backup,53893
slave,53634
comin,53510
district,53445
package,53394
reputation,53336
kitty,53197
bull,53090
actor,53068
channel,53044
background,53042
confidence,52942
politics,52841
surveillance,52811
whisper,52712
coincidence,52572
committee,52525
fuel,52339
salt,52298
lack,52147
footstep,51980
supply,51809
delivery,51792
sec,51785
alcohol,51762
degree,51750
tone,51739
league,51731
landing,51651
movement,51534
gut,51523
identity,51463
mighty,51443
division,51374
blast,51368
closet,51359
announcer,51338
seal,51283
sport,51278
newspaper,51258
screeching,51251
network,51111
c,51095
chat,51072
theater,51068
passion,51049
worker,50984
tunnel,50963
baseball,50903
warrior,50879
option,50850
rabbit,50818
teddy,50696
rape,50666
bat,50649
cock,50348
bug,50300
guide,50289
boot,50278
species,50231
booth,50084
design,50050
explanation,50049
teaching,49990
maid,49989
robot,49969
assault,49938
flag,49938
customer,49935
reward,49910
trail,49874
exit,49750
youth,49738
steel,49543
gear,49487
co,49480
education,49435
virgin,49427
lane,49415
bud,49122
bishop,49006
break,48970
fashion,48924
theme,48892
couch,48867
possibility,48866
a.m.,48830
disaster,48730
port,48701
wallet,48685
status,48543
quality,48464
title,48455
chip,48317
cage,48290
cave,48159
fever,48035
champion,48011
diamond,47980
bowl,47959
id,47901
response,47868
let,47803
sandwich,47730
suit,47708
mix,47635
boo,47628
jungle,47596
capital,47421
legend,47386
terrorist,47326
lifetime,47320
burn,47280
sweat,47234
museum,47190
tax,47058
guitar,46963
win,46911
swim,46824
stress,46795
plastic,46772
loan,46757
mummy,46675
article,46622
crush,46575
balance,46446
fairy,46430
trunk,46410
butter,46338
lad,46251
motion,46236
deputy,46233
lion,46148
accent,46132
golf,46086
traitor,46060
comfort,46035
reaction,46033
episode,46031
trick,45998
demand,45943
skull,45935
nerve,45755
childhood,45748
walker,45579
downtown,45459
neighbor,45458
cheating,45435
tracking,45429
cabin,45401
link,45340
dealer,45276
whirring,45248
punk,45205
crisis,45181
entrance,45180
