unree	-9.96367	VB:unree,VBD:unree,VBG:unreing,VBN:unree,VBZ:unree,JJ:unrey,NN:unree,NNS:unree
iness	-10.37259	VB:iness,VBD:inessed,VBG:inessing,VBN:inessed,VBZ:ines,JJ:inessy,NN:iness,NNS:ines
uness	-10.61739	VB:uness,VBD:unessed,VBG:unessing,VBN:unessed,VBZ:unes,JJ:unessy,NN:uness,NNS:unes
cally	-10.96143	VB:cally,VBD:callyed,VBG:callying,VBN:callyed,VBZ:callys,JJ:cally,NN:cally,NNS:callys
maten	-11.28929	VB:maten,VBD:mated,VBG:matening,VBN:mated,VBZ:matens,JJ:mateny,NN:maten,NNS:matens
unsus	-11.46841	VB:unsus,VBD:unsus,VBG:unsus,VBN:unsus,VBZ:unsus,JJ:unsust,NN:unsust,NNS:unsuses
dente	-11.62071	VB:dente,VBD:dente,VBG:denteing,VBN:dente,VBZ:dente,JJ:dented,NN:dente,NNS:dente
subst	-11.67904	VB:subst,VBD:substed,VBG:substing,VBN:substed,VBZ:subst,JJ:substic,NN:subst,NNS:substs
scont	-11.75683	VB:scont,VBD:scont,VBG:scont,VBN:scont,VBZ:scont,JJ:sconty,NN:scont,NNS:scont
diale	-11.88197	VB:diale,VBD:diales,VBG:diale,VBN:diale,VBZ:diale,JJ:diale,NN:diale,NNS:diale
sness	-11.90028	VB:sness,VBD:snessed,VBG:snessing,VBN:snessed,VBZ:snes,JJ:snessy,NN:sness,NNS:snes
mical	-12.00323	VB:mical,VBD:mical,VBG:mical,VBN:mical,VBZ:micaled,JJ:mical,NN:mical,NNS:mical
eness	-12.08873	VB:eness,VBD:enessed,VBG:enessing,VBN:enessed,VBZ:enes,JJ:enessy,NN:eness,NNS:enes
pante	-12.09879	VB:pante,VBD:pante,VBG:panteing,VBN:pante,VBZ:pante,JJ:panted,NN:pante,NNS:pante
inate	-12.16923	VB:inate,VBD:inat,VBG:inat,VBN:inat,VBZ:inat,JJ:inat,NN:inat,NNS:inat
entic	-12.17290	VB:entic,VBD:enticked,VBG:enticking,VBN:enticked,VBZ:enticks,JJ:enticed,NN:enticed,NNS:enticed
decte	-12.24260	VB:decte,VBD:decte,VBG:decteing,VBN:decte,VBZ:decte,JJ:dected,NN:decte,NNS:decte
exper	-12.34564	VB:exper,VBD:expered,VBG:exper,VBN:exper,VBZ:experes,JJ:exper,NN:exper,NNS:experes
stord	-12.44017	VB:stord,VBD:stord,VBG:stord,VBN:stord,VBZ:stord,JJ:stord,NN:stord,NNS:stords
aphon	-12.49779	VB:aphon,VBD:aphoned,VBG:aphoning,VBN:aphoned,VBZ:aphoned,JJ:aphoned,NN:aphon,NNS:aphoned
mator	-12.50882	VB:mator,VBD:mated,VBG:mating,VBN:mated,VBZ:mates,JJ:matory,NN:mator,NNS:mators
unbal	-12.53910	VB:unbal,VBD:unbal,VBG:unbal,VBN:unbal,VBZ:unbaled,JJ:unbal,NN:unbal,NNS:unbal
gatic	-12.58699	VB:gatic,VBD:gaticked,VBG:gaticking,VBN:gaticked,VBZ:gaticks,JJ:gaticed,NN:gaticed,NNS:gaticed
ratic	-12.58850	VB:ratic,VBD:raticked,VBG:raticking,VBN:raticked,VBZ:raticks,JJ:raticed,NN:raticed,NNS:raticed
remic	-12.60095	VB:remic,VBD:remicked,VBG:remicking,VBN:remicked,VBZ:remicks,JJ:remiced,NN:remiced,NNS:remiced
proar	-12.88777	VB:proar,VBD:proart,VBG:proar,VBN:proart,VBZ:proar,JJ:proary,NN:proart,NNS:proarts
unery	-13.02162	VB:unery,VBD:unered,VBG:unering,VBN:unered,VBZ:uners,JJ:unery,NN:uner,NNS:uners
natin	-13.04038	VB:natin,VBD:natined,VBG:natining,VBN:natined,VBZ:natins,JJ:natiny,NN:natin,NNS:natins
trion	-13.06614	VB:trion,VBD:trioned,VBG:trioning,VBN:trioned,VBZ:trioned,JJ:trioned,NN:trion,NNS:trioned
perce	-13.13374	VB:perce,VBD:perce,VBG:perceing,VBN:perce,VBZ:perce,JJ:perce,NN:perced,NNS:perce
nolog	-13.14777	VB:nolog,VBD:nologged,VBG:nologging,VBN:nologged,VBZ:nologs,JJ:nolog,NN:nolog,NNS:nologs
ation	-13.16332	VB:ation,VBD:ated,VBG:ating,VBN:ated,VBZ:ates,JJ:atory,NN:ation,NNS:ationed
unpis	-13.18158	VB:unpis,VBD:unpis,VBG:unpis,VBN:unpis,VBZ:unpis,JJ:unpish,NN:unpish,NNS:unpish
secti	-13.19548	VB:secti,VBD:sectied,VBG:sectiing,VBN:sectied,VBZ:sectis,JJ:secti,NN:secti,NNS:sectis
tratel	-13.24809	VB:tratel,VBD:tratel,VBG:trateling,VBN:trateled,VBZ:trateles,JJ:trately,NN:trateler,NNS:tratelers
imped	-13.40919	VB:imped,VBD:imped,VBG:impending,VBN:impended,VBZ:impeds,JJ:imped,NN:imped,NNS:imped
nonde	-13.41416	VB:nonde,VBD:nonded,VBG:nonding,VBN:nonded,VBZ:nonde,JJ:nond,NN:nond,NNS:nonds
inete	-13.43363	VB:inete,VBD:inete,VBG:ineting,VBN:inete,VBZ:inete,JJ:inety,NN:inet,NNS:inets
toris	-13.44503	VB:toris,VBD:toris,VBG:toris,VBN:toris,VBZ:toris,JJ:torish,NN:torish,NNS:torish
stism	-13.47440	VB:stism,VBD:stismd,VBG:stisming,VBN:stismd,VBZ:stisms,JJ:stism,NN:stism,NNS:stisms
rably	-13.48514	VB:rably,VBD:rablyed,VBG:rablying,VBN:rablyed,VBZ:rablys,JJ:rably,NN:rably,NNS:rablys
